Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001149,0.00058
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.00058
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.00058
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000662
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,7.000000000000001e-06
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000563
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0018039999999999998
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.013332
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.00063
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0005480000000000001
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,7.4e-05
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0063
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000916
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0008619999999999999
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,6.9e-05
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0017690000000000002
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0017690000000000002
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,2e-06
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000466
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0009609999999999999
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,1.6e-05
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,9.8e-05
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000442
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0044
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,6.6e-05
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0006320000000000001
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,4.8e-05
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0035
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0048
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0063
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000898
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000185
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.019993
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000513
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.000746
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0025559999999999997
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0044
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.16597,0.0,-0.26789999999999997,-0.001303,8.6e-05
0.75839,0.0,0.24478999999999998,0.0,-0.26789999999999997,-0.001303,0.007772
0.75839,0.0,0.24478999999999998,0.0,-0.26789999999999997,-0.001303,0.0008
0.75839,0.0,0.24478999999999998,0.0,-0.26789999999999997,-0.001303,0.0007
0.75839,0.0,0.24478999999999998,0.0,-0.26789999999999997,-0.001303,9.1e-05
0.75839,0.0,0.24478999999999998,0.0,-0.26789999999999997,-0.001303,1.8e-05
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.015503
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,5.7999999999999994e-05
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,9.6e-05
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0003
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,9.7e-05
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.001882
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.004887
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,5e-05
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,1.6e-05
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,1.6e-05
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0007
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,0.0008
0.75839,0.0,0.23809,0.0,-0.26789999999999997,-0.001303,2.3e-05
0.75839,0.0,0.23809,0.0,-0.17190000000000003,-0.001303,0.0004
0.75839,0.0,0.23809,0.0,-0.17190000000000003,-0.001303,0.0052
0.75839,0.0,0.23809,0.0,-0.17190000000000003,-0.001303,6.8e-05
0.75839,0.0,0.23809,0.0,-0.17190000000000003,-0.001303,3e-06
0.75839,0.0,0.23809,0.0,-0.17190000000000003,-0.001303,6e-06
0.75839,0.0,0.23809,0.0,-0.17190000000000003,-0.001303,0.000713
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.002802
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0005
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0002
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,2e-05
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0068
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0099
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,7.7e-05
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0089
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0043
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,7.099999999999999e-05
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0003
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,0.0001
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,2e-06
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,2.8000000000000003e-05
0.75839,0.0,0.17121,0.0,-0.17190000000000003,-0.001303,2.1e-05
0.75839,0.0,0.17121,0.0,-0.17190000000000003,0.028926,2.1e-05
0.75839,0.0,0.17121,0.0,-0.17190000000000003,0.028926,7.7e-05
0.75839,0.0,0.17121,0.0,-0.17190000000000003,0.028926,0.0033
0.75839,0.0,0.17121,0.0,-0.17190000000000003,0.028926,0.0043
