Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
0.027372516326247046,7.360364733725248e-05,0.0,0.2839358581994389,0.5,0.4004344677769733,0.33879344786256493,0.07576089238727893
0.02876198416006669,0.0070344665033204665,0.0,0.230808467227748,0.5,0.5000000000000001,0.5061925689172991,0.17325518541516827
0.07878282617757398,0.014777314930436119,0.18843245452687515,0.19880132619229787,0.5,0.6187545257060102,0.5603276068717538,0.21443026325782114
0.17882451021258855,0.014777314930436119,0.38115675454731246,0.17968949247640906,0.5,0.5955829109341059,0.5751098681582101,0.22518751479792185
0.20800333472280114,0.014777314930436119,0.24729204986715717,0.2367221372098954,0.5,0.5597393193338162,0.40531362365161805,0.10757698269815814
0.09545644018340975,0.014777314930436119,0.0,0.243369038510584,0.5,0.3238595220854454,0.31462245305633235,0.07076198687508098
0.07461442267611505,0.014777314930436119,0.0,0.2228226217801581,0.5,0.39355539464156414,0.4087095485417499,0.10814879673351233
0.0676670835070168,0.029407422566197577,0.07541385652973635,0.15554067839836774,0.5,0.4185372918175236,0.43208150219736313,0.1207287055113045
0.06349868000555788,0.02948102621353483,0.0,0.16257013516959956,0.5,0.4281317885590153,0.4928086296444266,0.16061273447725924
0.06627761567319716,0.02948102621353483,0.0,0.12254526906401428,0.5,0.466871832005793,0.5611266480223731,0.21412648705153925
0.12046686119216339,0.02948102621353483,0.3059472716125077,0.07780221882172914,0.5,0.4952932657494569,0.5914902117459049,0.23907187434386573
0.0912880366819508,0.03644146361490923,0.09687308399754752,0.15361196123437898,0.5,0.48841419261404784,0.5153815421494207,0.17622147072356814
0.062109212171738225,0.04418431204202472,0.0,0.2358932670237184,0.5,0.3446777697320783,0.3557730723132241,0.08608481610371277
0.04682506599972211,0.04418431204202472,0.0,0.25406465187452176,0.5,0.21162201303403336,0.1997602876548142,0.03667204231423862
0.042656662498263165,0.04418431204202472,0.0,0.25283728640652897,0.5,0.16817523533671255,0.15521374350779063,0.026075613471581292
0.04404613033208281,0.05888802332512343,0.05109339873288371,0.31114511604182604,0.5,0.30068790731354095,0.1630043947263284,0.02868004771073358
0.04404613033208281,0.05888802332512343,0.11404046597179644,0.2847806681968885,0.5,0.3466690803765388,0.09808230123851377,0.01786918860481843
0.042656662498263165,0.05888802332512343,0.0,0.22068668706962508,0.5,0.05557566980448951,0.0613264083100279,0.01786918860481843
0.042656662498263165,0.07351813096088505,0.0,0.3562866615659271,0.5,0.17831281679942076,0.0765081901717938,0.01786918860481843
0.03987772683062387,0.07359216006283112,0.0,0.36390589135424634,0.5,0.23986241853729187,0.13743507790651216,0.01786918860481843
0.037098791162984576,0.07359216006283112,0.020437359493153485,0.30545460341749553,0.5,0.24348298334540192,0.21114662405113857,0.03667204231423862
0.03431985549534528,0.08822141678937478,0.0,0.27681076256057124,0.5,0.135228095582911,0.11925689172992407,0.01786918860481843
